"Chapter","Grammar Point","Use Case / Meaning","Example 1","Example 1 English","Example 2","Example 2 English","Example 3","Example 3 English"
"Chapter 3","就算……也……","Hypothetical concessive: 'Even if'. Most colloquial and common in daily spoken Chinese. Deals with realistic hypothetical scenarios that won't alter the outcome.","就算明天下大雨，我们也一定要去爬山。","Even if it rains heavily tomorrow, we must go mountain climbing.","就算你不说，我也猜得到是谁干的。","Even if you don't say it, I can still guess who did it.","就算这次考试没通过，你也不能失去信心。","Even if you don't pass the exam this time, you cannot lose your confidence."
"Chapter 3","即便……也……","Hypothetical concessive: 'Even if / Even though'. More formal and written (书面语) than 就算. Carries a smoother, more objective tone used in news or formal contexts.","即便面临巨大的经济压力，公司也不应该降低产品的质量。","Even if faced with massive financial pressure, the company should not sacrifice product quality.","即便你拥有再高超的技术，不努力也无法在比赛中夺冠。","Even if you possess the most superb skills, you cannot win the championship without hard work.","即便是过去了很多年，那段童年的美好记忆也依然清晰如初。","Even if many years have passed, those beautiful childhood memories remain as clear as ever."
"Chapter 3","哪怕……也……","Hypothetical concessive: 'Even if'. Carries a strong emotional tone of resolution, sacrifice, or willingness to face the absolute worst-case scenario or extreme hardship.","哪怕只有百分之一的希望，我们也要付出百分之百的努力。","Even if there is only a one percent hope, we must put in one hundred percent effort.","为了实现梦想，哪怕吃再多苦，他也觉得心甘情愿。","To achieve his dream, even if he has to suffer much bitterness, he feels it is completely worth it.","哪怕全天下的人都反对我，我也要坚持自己的选择。","Even if the whole world opposes me, I will still stand by my choice."
"Chapter 3","纵然……也……","Hypothetical concessive: 'Even if / Even though'. The most literary, formal, and poetic of the group. Rarely used in casual speech; found in literature and essays.","纵然千山万水，也阻挡不了我想回家的脚步。","Even across thousands of mountains and rivers, nothing can stop my steps from returning home.","纵然他有千般不是，你也不应该当众动手打人。","Even if he has a thousand faults, you still should not resort to hitting him in public.","经典文学的魅力，纵然历经千百年的时光，也绝不会消逝。","The charm of classic literature will never fade, even if it endures hundreds or thousands of years of time."
"Chapter 3","多多","Use Case 1: Adverbial before verbs meaning 'do more of [something]'. Used in polite requests, formal correspondence, or giving advice.","这是一个全新的项目，以后还请大家多多关照。","This is a brand-new project; please look after/help me a lot in the future.","新产品的设计难免有不足之处，还请各位专家多多包涵。","The design of the new product inevitably has shortcomings; we hope the experts will show plenty of understanding/forbearance.","到了新学校后，你一定要和同学们多多交流，尽快适应新环境。","After arriving at the new school, you must communicate a lot with your classmates to adapt to the new environment as soon as possible."
"Chapter 3","多多","Use Case 2: Post-modifier meaning 'and more / plus' or fixed idiom meaning 'the more, the better' (多多益善).","这种关键的救援物资多多益善，越多越好。","This kind of critical rescue supply follows 'the more, the better' principle—the more, the better.","只要能学到真本事，吃苦多多又有何妨？","As long as one can learn real skills, what does it matter if there is a lot of hardship?","谈到买书的预算，对我来说那是韩信点兵，多多益善。","When it comes to the budget for buying books, for me it's like Han Xin counting troops—the more, the better."
"Chapter 3","动词+不再","Cessation indicator: 'No longer [verb]' or 'stop [doing something]'. Marks a definitive end to an action or state that used to happen in the past.","听到这个好消息后，他心里的焦虑彻底消失不再。","After hearing this good news, the anxiety in his heart completely disappeared and was no longer present.","青春一去复不再，我们一定要珍惜当下的好时光。","Youth goes and returns no more; we must cherish the good times of the present.","随着新规定的出台，原先繁琐的审批流程已简化不再。","With the release of the new regulations, the original tedious approval process has been simplified out of existence."
"Chapter 3","动词+免不了","Inevitability marker: 'Unavoidable', 'bound to happen', or 'cannot escape'. Indicates that an outcome or reaction is natural and impossible to prevent.","新手第一次开车上路，心里免不了会有些紧张。","When a beginner drives on the road for the first time, they naturally cannot avoid feeling a bit nervous.","两个性格完全不同的人住在一起，日常生活中免不了产生摩擦。","When two people with completely different personalities live together, they are bound to experience friction in daily life.","他因为粗心给公司造成了损失，这次免不了要受到经理的批评。","Because his carelessness caused a loss for the company, he cannot escape being criticized by the manager this time."
"Chapter 3","八成/七成/九成/X成","Use Case 1: Describing exact percentages or literal proportions where each '成' represents 10% of a total.","调查显示，这家公司有将近七成的员工对目前的薪资表示满意。","Surveys show that nearly 70% of this company's employees are satisfied with their current salary.","今年因为天气原因，果园里的苹果减产了两成左右。","This year, due to weather reasons, apple production in the orchard decreased by about 20%.","这份合同规定，项目的利润你拿六成，我拿四成。","This contract stipulates that you take 60% of the project profits, and I take 40%."
"Chapter 3","八成/七成/九成/X成","Use Case 2: Colloquial Adverb meaning 'most likely / in all probability' (typically restricted to 八成 or 九成). High subjective confidence.","天阴得这么厉害，看样子八成是要下大雨了。","The sky is so dark; looking at it, it is most likely going to rain heavily.","他到现在还没回信息，我猜他九成是把这件事给忘了。","He hasn't replied to the message yet; I guess odds are that he forgot about it.","看他一整天都魂不守舍的，八成是遇到了什么烦心事。","Seeing him absent-minded all day, he most likely ran into some troubling matters."
"Chapter 3","就此XX","Formal adverb: 'At this point', 'thereby', or 'right here and now'. Signals that an action or state ends, begins, or changes right at this juncture.","双方经过友好协商，决定就此达成合作协议。","After friendly consultations, both parties decided to reach a cooperative agreement right then and there.","因为一点误会，两人的好朋友关系就此结束，实在让人惋惜。","Because of a small misunderstanding, the close friendship between the two ended right then and there, which is truly a pity.","我们不要再为过去的事情争吵了，恩怨就让它就此勾销吧。","Let's not quarrel over past matters anymore; let's allow the grudges to be wiped clean from this point forward."
"Chapter 3","无可XX","Negative structural prefix: 'There is no way to...' or 'nothing can be [verb]ed'. Combines with specific transitive verbs to create formal descriptions.","面对这个突如其来的打击，他露出了无可奈何的笑容。","Facing this sudden blow, he gave a helpless smile / a smile of having no alternative.","他的这番分析证据确凿，结论自然是无可置疑的。","His analysis is backed by ironclad evidence, so the conclusion is naturally unquestionable.","面对记者关于公司商业机密的提问，发言人表示无可奉告。","Facing the reporter's questions regarding company trade secrets, the spokesperson stated they had 'no comment'."
"Chapter 4","足以","Use Case 1: Modifying verbs/actions meaning 'sufficient to' or 'enough to'. Indicates reaching the necessary threshold to trigger a result.","他这几年积攒下来的工作经验，足以让他胜任主管的位置。","The work experience he has accumulated over the past few years is fully sufficient to make him qualified for the supervisor position.","仅仅这一条铁证，就足以推翻被告此前所有的谎言。","Just this single piece of ironclad evidence is enough to overturn all the defendant's previous lies.","窗外那优美动听的钢琴声，足以抚平他内心所有的烦躁与焦虑。","The beautiful and melodious piano music outside the window is fully sufficient to soothe all the fretfulness and anxiety in his heart."
"Chapter 4","足以","Use Case 2: Negated or rhetorical structures ('不足以' / '难道不……') expressing insufficiency or questioning if a threshold is met.","虽说有些快捷支付方式很好用，但只靠这一点不足以吸引所有老年用户。","Although some fast payment methods are very easy to use, relying on this alone is insufficient to attract all elderly users.","他口头上的道歉不足以弥补他因粗心大意给公司造成的经济损失。","His verbal apology is not enough to make up for the financial losses he caused the company due to his carelessness.","难道这点微小的困难，就足以让你放弃坚持了多年的音乐梦想吗？","Could it be that this tiny difficulty is enough to make you give up the musical dream you've held onto for years?"
"Chapter 4","随之而起","Fixed literary idiom: 'To arise immediately along with it' or 'spring up in its wake'. Indicates a secondary phenomenon triggered by a primary event.","随着智能手机的全面普及，移动支付和直播行业随之而起。","With the comprehensive popularization of smartphones, the mobile payment and live-streaming industries emerged in their wake.","经理在会议上提出了一个激进的创新方案，公司内部的各种质疑声随之而起。","The manager proposed a radical, innovative plan at the meeting, and various voices of doubt inside the company immediately arose along with it.","随着全球范围内传统文化热潮的复兴，各种汉服工作室和古风文创品牌随之而起。","With the revival of the traditional culture craze globally, various Hanfu studios and ancient-style cultural creative brands have sprung up in its wake."
"Chapter 4","起码","Use Case 1: As an Adverb meaning 'at least / at the very least'. Sets the absolute lowest threshold required or expected programmatically.","要想顺利通过这个专业的钢琴考级，你每天起码得练习三个小时。","If you want to pass this professional piano grade exam smoothly, you need to practice for at least three hours every day.","按照目前的工程进度来看，营建这栋大型体育馆起码还需要半年时间。","Judging by the current engineering progress, constructing this large gymnasium will take at least another half a year.","就算你工作再忙，给家里长辈打个电话问候一下，这总是起码能做到的吧。","Even if you are incredibly busy with work, giving your family elders a phone call to check in on them is surely something you can do at the very least."
"Chapter 4","起码","Use Case 2: As an Adjective meaning 'fundamental / baseline / elementary' rules or expectations that must be followed.","在别人说话时不要随意打断，这是对人最起码的尊重。","Do not interrupt randomly when others are speaking; this is the most fundamental respect for people.","作为一个新闻工作者，实事求是是最起码的职业道德。","As a journalist, seeking truth from facts is the most elementary professional ethics.","你的这番推测漏洞百出，完全缺乏最起码的逻辑。","This speculation of yours is full of loopholes and completely lacks baseline logic."
"Chapter 4","过于","Formal adverb: 'Excessively', 'too', or 'overly'. Must be followed directly by a disyllabic adjective or psychological verb; indicates crossing a moderate limit.","他在做决定时过于优柔寡断，从而痛失了这次宝贵的投资机会。","He was excessively indecisive when making decisions, thereby painfully losing this valuable investment opportunity.","父母没必要对孩子的日常生活过于干涉，应该多培养他们的独立能力。","Parents do not need to interfere excessively with their children's daily lives; they should cultivate their independent abilities more.","这份市场预测报告的结论写得过于乐观，完全忽略了潜在的金融风险。","The conclusion of this market forecast report was written overly optimistically, completely ignoring potential financial risks."
"Chapter 4","以……著称","Highly formal written framework: 'Famous for...' or 'renowned for [X]'. Introduces the specific characteristic making an entity well-known.","这家百年老字号餐厅向来以服务贴心、食材新鲜而著称。","This century-old restaurant has always been renowned for its attentive service and fresh ingredients.","那位年轻的围棋选手在比赛中向来以思维敏捷、棋风泼辣而著称。","That young Go player has always been celebrated in tournaments for his agile thinking and aggressive playing style.","这座江南古镇以其独特的优雅水乡风貌和深厚的传统文化底蕴著称于世。","This ancient water town south of the Yangtze River is famous throughout the world for its unique, elegant water-town scenery and deep traditional cultural heritage."
"Chapter 4","幸好","Adverb: 'Fortunately' or 'luckily'. Introduces a saving grace that prevented a bad scenario from turning into a disaster; often paired with '不然'/'否则'.","今天出门我幸好带了雨伞，不然后半夜的大暴雨非把我淋透不可。","Fortunately, I brought an umbrella when I went out today; otherwise, the heavy downpour in the latter half of the night would have definitely soaked me through.","幸好有专业救援人员的迅速赶到，废墟中的伤员才得以在第一时间脱险。","Luckily, with the swift arrival of professional rescue personnel, the injured people in the ruins were able to escape danger at the very first moment.","刚才在台上演讲时我差点忘了词，幸好看到台下老师那赞许的目光，我才慢慢冷静了下来。","I almost forgot my lines while giving the speech on stage just now; fortunately, seeing the teacher's approving look under the stage, I slowly calmed down."
"Chapter 5","给……以……","Highly formal written framework: 'To bestow / grant / give [someone] [something abstract]'. Followed by an abstract disyllabic noun phrase.","面对陷入困境的传统手工艺人，政府给予了他们以极大的资金支持。","Facing the traditional artisans who fell into difficult straits, the government granted them immense financial support.","老师那充满信任的眼神，给了我以战胜期末钢琴考级的巨大信心。","The teacher's look full of trust bestowed upon me immense confidence to conquer the final piano grade exam.","对于故意在考试中作弊、破坏公平原则的人，学校一定会给予以严厉的惩罚。","For those who intentionally cheat in exams and destroy the principle of fairness, the school will definitely inflict a severe punishment."
"Chapter 5","纯属……","Adverbial categorization phrase: 'Purely', 'completely', or 'nothing but'. Definitive categorization emphasizing lack of alternative realities.","我们两人在异国他乡的街头突然相遇，这纯属巧合，事先并没有任何约定。","Our sudden meeting on the streets of a foreign land was purely coincidental; there was no prior arrangement at all.","网上流传的关于那家传统文化中心即将关闭的消息纯属谣言，请大家不要盲目相信。","The news circulating online about the upcoming closure of that traditional cultural center is completely a rumor; please do not blindly believe it.","能够从小在如此高雅的艺术环境里受到熏陶，对他而言纯属幸运。","Being able to be nurtured in such an elegant artistic environment from childhood was, for him, nothing short of pure luck."
"Chapter 5","急于……","Verbal modifier: 'Anxious to' or 'in a hurry to do [something]'. Reflects psychological state of urgency, often carrying a connotation that haste leads to issues.","很多家长急于看到孩子钢琴考级拿证，反而忽略了最起码的基础练习。","Many parents are anxious to see their children get certificates from piano grade exams, conversely ignoring the most fundamental baseline practice.","面对经理的严厉质问，他急于为自己的粗心开脱，结果把事情越描越黑。","Facing the manager's severe questioning, he was in a hurry to excuse his carelessness, and as a result, the more he described it, the darker it became.","刚入行的新手往往急于证明自己的实力，这无可厚非，但更需要沉下心来积累经验。","Novices who have just entered the industry are often impatient to prove their strength, which gives no cause for criticism, but they need even more to settle their minds and accumulate experience."
"Chapter 5","至于……","Use Case 1: Topic transition conjunction: 'As for... / When it comes to...'. Placed at the beginning of a clause to shift focus to a separate aspect.","我现在的首要任务是督促自己把毕业论文写完，至于找工作的事情，等下个月再说吧。","My primary task right now is to urge myself to finish writing my graduation thesis; as for the matter of looking for a job, I will worry about it next month.","这款新上市的智能手机硬件配置非常强悍，至于它的实际操作系统好不好用，还取决于用户的反馈。","The hardware configuration of this newly launched smartphone is incredibly powerful; as for whether its actual operating system is easy to use, it depends on consumer feedback.","我们可以为你提供一个展示才华的舞台，至于你最终能不能脱颖而出，那就要看你自己的长远努力了。","We can provide you with a stage to showcase your talent; as for whether you can ultimately stand out, that will look to your own long-term efforts."
"Chapter 5","至于……","Use Case 2: Indicating a degree limit ('Go so far as to...'). Frequently used in negative or rhetorical forms ('不至于' / '何至于') to show boundaries.","虽然他这次考级没有发挥好，但你不至于生这么大的气，甚至连饭都不让他吃吧。","Although he did not perform well on the grade exam, you shouldn't go so far as to get this angry, to the point of not even letting him eat.","仅仅是因为一点微小的意见不合，你们两个人何至于闹到要断绝朋友关系的地步？","Just because of a tiny disagreement of opinions, how could you two go so far as to make a scene to the point of breaking off your friendship?","就算他的生活过得有些清苦，但也绝对不至于连一顿饱饭都成了奢望。","Even if his life is a bit poor and bitter, it will absolutely not get to the point where even a single full meal becomes a wild hope."
"Chapter 5","予以……","Formal administrative transitive verb: 'To give / render / accord [a certain formal action/treatment]'. Formal replacement for '给'.","针对市场上关于公司财务状况的传言，公关部门今天下午将召开新闻发布会予以澄清。","In response to rumors on the market regarding the company's financial status, the PR department will hold a press conference this afternoon to render a clarification.","感谢各位市民在城市生态林营建过程中予以我们的理解与大力配合。","Thank you, citizens, for according us your understanding and strong cooperation during the process of constructing the urban ecological forest.","你的这个建议非常具有建设性，公司管理层高度重视，一定会认真予以考虑。","This suggestion of yours is highly constructive; the company management attaches great importance to it and will definitely give it serious consideration."