"Chapter","Pattern Template","English Explanation","Example 1","Example 2","Example 3","Example 4","Example 5"
"Chapter 5","又是……又是……，还……","Used to list multiple activities or reasons happening at the same time, implying a busy or overwhelmed state. 'Both [X], and [Y], and on top of that [Z]...'","他又是工作，又是学习，还要运动。","妈妈又是督促我，又是鼓励我，还给我做好吃的。","毕业季时，他又是准备考级，又是投简历，还得写论文。","这孩子最近又是学钢琴，又是学画画，还想学围棋，真够忙的。","为了考上好大学，他又是参加各种考级，又是上补习班，还放弃了所有娱乐时间，让人佩服。"
"Chapter 5","再……再……也……","Emphasizes that no matter how extreme the condition or how much effort is put in, the outcome will not change. 'No matter how [X] or how [Y], still...'","再苦再累也要坚持。","再多再高的奢望也无法动摇他的决心。","目标再远再难，也绝对不放弃。","传统文化再深奥再古老，我们也应该努力去继承。","如果你不去实践，书本上的知识再高雅再实用，对你来说也只是纸上谈兵。"
"Chapter 5","……得不能再……了","A superlative structure meaning something has reached its absolute maximum limit. 'So [X] that it cannot possibly be any more [X].'","我现在累得不能再累了。","他的生活习惯健康得不能再健康了。","这个家庭的艺术氛围浓厚得不能再浓厚了。","父母对他的督促已经严格得不能再严格了，不能再加压了。","每天能睡到自然醒，这种生活对他这个忙碌的打工人来说，已经奢侈得不能再奢侈了。"
"Chapter 5","可……可……","Indicates flexibility or options, meaning an action can be done either way based on preference or dual capability. 'Can be [X] or can be [Y].'","这件衣服可买可不买。","这个考级可参加可不参加，看你个人意愿。","这种传统的文化氛围，可深厚可轻松，全凭自己体会。","面对父母的督促，孩子的态度可积极可消极，取决于沟通方式。","追求高雅艺术是一件可大可小的事情，既可以是专业研究，也可以是生活情趣。"
"Chapter 5","取决于……","Indicates that an outcome depends entirely on a specific condition or factor. 'Depends on... / Is determined by...'","成功取决于努力。","能否通过考级，取决于你的练习程度。","孩子能否受到好的熏陶，主要取决于家庭环境。","你的奢望能否变成现实，取决于你付出了多少汗水。","一个人能不能改掉坏习惯，取决于他的自律能力，而不是别人的督促。"
"Chapter 5","……是……了点儿，不过……","Concedes a minor flaw or negative aspect first, but follows up with a major positive counterpoint. '[X] is a bit too [adjective], but...'","贵是贵了点儿，不过很好用。","严格是严格了点儿，不过这是一种有效的督促。","考级是麻烦了点儿，不过确实能证明你的专业水平。","这个要求是算得上奢望了点儿，不过人总要有点远大目标。","这种高雅的音乐听起来是深奥了点儿，不过多听听确实能让人受到艺术熏陶。"
"Chapter 7","……都……了，哪能跟……比呀","A rhetorical question used to emphasize a massive contrast or gap between two things, implying comparison is impossible. '[X] is already at such a stage, how could it ever compare to [Y]?'","我都三十岁了，哪能跟年轻人比呀！","他都当上主管了，哪能跟我们普通员工比呀。","现在的电子书都这么普及了，哪能跟以前借书看的时代比呀。","网络的普及率都这么高了，信息的传播速度哪能跟过去写信的时代比呀。","人家的孩子在熏陶下都通过专业考级了，我这刚入门的水平哪能跟人家比呀。"
"Chapter 7","……了事","To settle, clear up, or finish a matter in a careless, perfunctory, or lazy way just to get it over with. 'To rush through and get it over with / to patch up a matter.'","他总是写完作业了事。","面对问题，他只想随便敷衍了事。","这次考级他没好好准备，只是去应付了事。","他做事情没有责任心，每次被督促时就敷衍了事。","面对工作中的重大失误，你不能只写一份检讨书就想草草了事。"
"Chapter 7","……则……，……不……则……","A formal or written conditional structure. 'If [condition happens], then [Result A]; if not, then [Result B].'","多则一年，少则几月。","考级通过则奖，不通过则罚。","受到好的熏陶则智，不受熏陶则愚。","父母的督促得当则利于孩子成长，督促不当则适得其反。","对待这个高雅艺术项目，资金充足则能继续扩大，资金不足则只能暂时停止。"
"Chapter 7","不失为","A formal way to express that something is still a good, viable choice, method, or alternative, even if it is not perfect. 'Can still be considered as / may well be / not a bad...'","不失为一个好办法。","去图书馆学习，不失为一种享受。","让孩子多听古典音乐，不失为一种高雅的熏陶方式。","参加考级来检验自己的学习成果，不失为一个好选择。","虽然这个目标看起来像个奢望，但拼一把不失为对年轻的一种致敬。"
"Chapter 7","为了……起见，……","Used to state the motive or cautious reason behind a preventive action. 'For the sake of [safety, convenience, etc.], [action]...'","为了安全起见，请系好安全带。","为了健康起见，他开始坚持清淡饮食。","为了保险起见，妈妈每天都会督促他复习功课。","为了稳妥起见，他决定多练习几个月再去参加钢琴考级。","为了长远的发展起见，公司决定多引进一些具有高雅文化背景的人才。"
"Chapter 7","……是……，……是……","Emphasizes that two items, aspects, or concepts are completely distinct and should not be mixed up or confused. '[X] is [X], and [Y] is [Y] (they are separate matters).'","借钱是借钱，送钱是送钱，要分清楚。","理想是理想，现实是现实，不能混为一谈。","喜欢高雅艺术是一回事，能不能靠它赚钱是另一回事。","父母的督促是父母的期望，你自己的努力是你自己的行动。","偶尔一次的奢望是无伤大雅的，但天天不切实际地做白日梦是不可取的。"
"Chapter 8","……而已","Placed at the end of a sentence to minimize the importance, scale, price, or value of something. 'That's all / nothing more than / merely.'","我只是开个玩笑而已。","这次没考好，只是一次小小的失败而已。","他通过那个业余考级，也只是运气好而已。","他的那些要求，在别人看来其实不过是一种最低的奢望而已。","他每天穿得那么高雅，其实只是为了在朋友面前撑个面子而已。"
"Chapter 8","……的可怜","Used to modify verbs or adjectives to show that an amount, frequency, or status is desperately small, low, or pathetic. 'Pitifully [small/few/poor].'","他的工资少得可怜。","这只流浪狗瘦得可怜。","长期缺乏家庭的熏陶，他的文化知识少得可怜。","在严格的督促下，他每天可以自由支配的时间少得可怜。","在这片缺乏艺术土壤的地方，真正能懂高雅艺术的人少得可怜。"
"Chapter 8","……透了","Attached to verbs or adjectives to indicate an extreme degree, usually conveying a deeply negative or thoroughly exhaustive connotation. 'Thoroughly / completely / to the bone.'","我真是看透了他。","连续加班一个星期，我快累透了。","听了这首高雅的交响乐，我的灵魂仿佛被洗透了。","孩子对父母每天无休止的督促和唠叨，已经烦透了。","他的这种不切实际的奢望，早就被现实看透了，注定失败。"
"Chapter 8","可想而知","An idiom meaning the outcome, difficulty, or reality of a situation can be easily deduced or imagined based on existing facts. 'One can well imagine / it stands to reason that...'","结果可想而知。","如果不努力，考级的结果可想而知。","缺少了家庭环境的熏陶，孩子的习惯可想而知会变差。","他每天都在父母的严厉督促下生活，心理压力可想而知有多大。","一个连饭都吃不饱的人去追求所谓的最高雅的艺术，其难度可想而知。"
"Chapter 8","想也/都别想","A strong, colloquial, or blunt dismissal of an unrealistic idea or request. 'Don't even think about it! / Out of the question!'","借钱？想都别想！","不复习就想通过考级？想也别想！","不付出任何汗水就想实现奢望，那是想都别想的事。","既然你选择反其道而行之天天熬夜，还想要健康的身体？想也别想！","如果不接受长期的艺术熏陶，直接就想看懂这么高雅的歌剧，那是想都别想。"
"Chapter 8","难以……","Followed by a disyllabic (two-character) verb to express that an action is difficult or impossible to execute or achieve. 'Hard to... / difficult to...'","这个问题难以解决。","他的这种坏习惯让父母难以督促。","这种高雅的艺术境界，普通人往往难以理解。","在经历了社会的打击后，他的奢望已经难以实现。","如果不亲自去体验那种环境，你将难以感受到传统文化给人的熏陶。"
"Chapter 9","时不时地……","Indicates that an action happens frequently but at irregular intervals. 'From time to time / now and then / occasionally.'","他时不时地去图书馆。","爸爸在工作时，时不时地会督促一下孩子的学习。","虽然已经退休，但他时不时地还会怀念当年的艺术熏陶。","患有慢性病的老人需要特别注意，家人要时不时地关心他们的身体状况。","尽管医生警告过他，但他还是反其道而行之，时不时地熬夜加班、吃垃圾食品。"
"Chapter 9","……得够呛 （……真够呛）","A colloquial expression meaning a situation, feeling, or state is unbearable, terrible, exhausting, or extremely difficult to deal with. 'To an unbearable degree / in an awful fix.'","天气热得够呛。","这种颈椎病疼得够呛。","天天被父母盯着督促学习，他心里烦得够呛。","他得了一场慢性病，身体被折磨得够呛，整个人瘦了一大圈。","世上没有买后悔药的地方，他现在因为年轻时的错误决定，日子过得够呛。"
"Chapter 9","……，不仅如此……","A transitional phrase used to introduce additional, higher-level details that escalate the previous point. '..., not only that, but also... / furthermore.'","他很聪明，不仅如此，他还很努力。","熬夜会增加患慢性病的风险，不仅如此，还会导致精神不振。","他坚持早睡早起、规律作息，不仅如此，他还经常参加体育锻炼。","优秀的家庭不仅能给孩子带来高雅的熏陶，不仅如此，还能提供更好的成长资源。","这次考级难度极大，不仅如此，考官的要求也高得不能再高了，让人压力倍增。"
"Chapter 9","不……则已，一……就得（要）……","Emphasizes that if an action is not taken, nothing happens; but once it is taken, it immediately triggers an extreme or inevitable consequence. 'Once they start doing [X], they go all out / it leads to extreme results.'","他不买则已，一买就得花光积蓄。","这种慢性病不发作则已，一发作就得去医院住院治疗。","他对待考级的态度不认真则已，一认真就得拿到最高级别的证书。","这款软件不升级则已，一升级就得彻底改变原有的操作界面和习惯。","世上没有买后悔药的地方，有些人不犯错则已，一犯错就得付出惨痛的代价。"
"Chapter 9","……得慌","Collocates with certain adjectives or psychological verbs to express an uncomfortable, restless, or unbearable physical or mental sensation. 'Unbearably [anxious/bored/suffocated/panicked].'","闲着没事，心里闷得慌。","几天不运动，浑身难受得慌。","天天听父母的唠叨和督促，他耳朵都快听出茧子来了，烦得慌。","看着身边的人一个个都通过了专业考级，他心里急得慌，生怕被落下。","总是坐在电脑前不运动，不仅会得慢性病，时间长了身体也会僵硬得慌。"
"Chapter 9","（饱/忍/大）受（尽）……之苦","To fully experience, endure, or suffer heavily from a specific kind of pain, hardship, emotional distress, or disease. 'To suffer deeply from / to bear the bitterness of...'","他饱受相思之苦。","那个可怜的孩子从小就忍受贫穷之苦。","长期久坐和熬夜，让他大受颈椎病等慢性病之苦。","因为没有听从父母的督促，他现在尝到了失败的滋味，大受后悔之苦。","既然世界上没有买后悔药的地方，他就只能默默承受当年盲目跟风、草率了事带来的饱受折磨之苦。"
