Chapter,Grammar Point,use_case,example_1_en,example_2_en,example_3_en
Chapter 3,就算……也……,譲歩の仮定「たとえ〜しても」。日常会話で最もよく使う。現実的な仮定でも結果は変わらない。,たとえ明日大雨が降っても、私たちは必ず山登りに行く。,たとえあなたが言わなくても、誰がやったか当てられる。,たとえ今回の試験に落ちても、自信を失ってはいけない。
Chapter 3,即便……也……,譲歩の仮定「たとえ〜でも／〜であっても」。「就算」より書き言葉的で客観的。ニュースや正式な場面で使う。,たとえ巨大な経済的圧力に直面しても、会社は製品の品質を下げるべきではない。,たとえどんなに優れた技術を持っていても、努力しなければ優勝できない。,たとえ何年も経っても、あの子ども時代の美しい記憶は今も鮮明だ。
Chapter 3,哪怕……也……,譲歩の仮定「たとえ〜でも」。決意・犠牲・最悪の事態を受け入れる強い感情を伴う。,たとえ1パーセントの希望しかなくても、100パーセントの努力を払わなければならない。,夢を実現するため、たとえどれほど苦しくても、彼は心から喜んでいる。,たとえ全世界が反対しても、私は自分の選択を貫く。
Chapter 3,纵然……也……,譲歩の仮定「たとえ〜でも」。最も文学的・書き言葉的。日常会話では稀で、文学作品や随筆に多い。,たとえ千山万水を越えても、帰郷の足取りを止めることはできない。,たとえ彼に千の欠点があっても、人前で殴るべきではない。,古典文学の魅力は、千年の時を経ても決して消えない。
Chapter 3,多多,用法1：動詞の前に置き「もっと〜する」の意。丁寧な依頼・書簡・アドバイスで使う。,これは全く新しいプロジェクトです。これからどうぞよろしくお願いします。,新製品のデザインにはどうしても不足があります。専門家の皆様のご理解をお願いします。,新しい学校に着いたら、クラスメートとたくさん交流して、早く環境に慣れなさい。
Chapter 3,多多,用法2：後置修飾「〜など」、または「多ければ多いほどよい」（多多益善）の慣用句。,この種の重要な救援物資は、多ければ多いほどよい。,本当の腕が身につくなら、どれほど苦労があっても構わない。,本を買う予算の話なら、私にとっては韓信の兵士のように、多ければ多いほどよい。
Chapter 3,动词+不再,中止・終了：「もう〜ない／〜をやめる」。過去にあった行為・状態の終わりを示す。,この良い知らせを聞いて、彼の心の不安は完全に消え、もうなかった。,青春は去って二度と戻らない。今のよい時を大切にしなければならない。,新規定の施行により、以前の煩雑な承認手続きは簡素化され、もうなくなった。
Chapter 3,动词+免不了,不可避：「避けられない／どうしても〜する」。自然な結果で防ぎようがない。,初心者が初めて路上で運転するとき、少し緊張するのは避けられない。,性格がまったく違う二人が一緒に暮らすと、日常生活で摩擦が生じるのは当然だ。,不注意で会社に損失を与えたので、今回は部長の叱責を免れない。
Chapter 3,八成/七成/九成/X成,用法1：割合・百分率。「成」は10％を表す。,調査によると、この会社の従業員の約7割が現在の給与に満足している。,今年は天候の影響で、果樹園のりんごの収穫は約2割減った。,この契約では、プロジェクトの利益はあなたが6割、私が4割を取る。
Chapter 3,八成/七成/九成/X成,用法2：口語副詞「おそらく／たぶん」（多くは八成・九成）。主観的な確信度が高い。,空がこんなに曇っている。見たところ、大雨が降りそうだ。,彼はまだ返信していない。たぶんこのことを忘れたのだろう。,一日中ぼんやりしている。何か悩み事に遭ったに違いない。
Chapter 3,就此XX,書き言葉の副詞：「この時点で／ここで」。行為や状態がここで終わる・始まる・変わる。,双方の友好的な協議の結果、ここで協力協定に達することになった。,小さな誤解のせいで、二人の親友関係はここで終わってしまい、実に惜しい。,過去のことで争うのはやめよう。恩讐はここで水に流そう。
Chapter 3,无可XX,否定の接頭「〜しようがない／〜できない」。特定の動詞と結び正式な表現を作る。,この突然の打撃に直面し、彼は仕方ないという笑みを浮かべた。,彼の分析は証拠が確かなので、結論は当然疑いようがない。,記者の会社の商業機密に関する質問に、広報担当者は「お答えできない」と述べた。
Chapter 4,足以,用法1：動作を修飾し「〜するのに十分／〜できるほど」。必要な水準に達する。,彼がこの数年で積み上げた仕事の経験は、主任の地位に就くのに十分だ。,この一つの確かな証拠だけで、被告のこれまでの嘘をすべて覆せる。,窓の外の美しく心地よいピアノの音は、彼の心のいらだちと不安をすべて和らげるのに十分だ。
Chapter 4,足以,用法2：否定・反語（不足以／难道不……）で不十分さを表す、または基準を満たすか問う。,いくつかの便利な決済方法はあるが、それだけではすべての高齢ユーザーを引きつけるには不十分だ。,口頭での謝罪だけでは、不注意で会社に与えた経済的損失を補うには足りない。,この小さな困難だけで、何年も抱いてきた音楽の夢を諦めることになるのか。
Chapter 4,随之而起,文語的な成語：「それに伴いすぐに起こる／続いて現れる」。主な出来事のあとに副次的現象が生じる。,スマートフォンの普及に伴い、モバイル決済やライブ配信の産業が続いて興った。,会議で部長が抜本的な革新案を出すと、社内にはさまざまな疑問の声が続いて上がった。,世界中で伝統文化ブームが復興すると、漢服スタジオや古風文創ブランドが続いて現れた。
Chapter 4,起码,用法1：副詞「少なくとも／最低でも」。要求・期待の絶対的な下限を示す。,このプロのピアノ級位試験に合格したいなら、毎日少なくとも3時間練習しなければならない。,現在の工程の進みから見て、この大型体育館の建設には少なくともあと半年かかる。,仕事がどんなに忙しくても、家族の年長者に電話して様子を聞くくらいはできるだろう。
Chapter 4,起码,用法2：形容詞「最低限の／基本的な」。守らなければならない根本的なルールや期待。,人が話しているときに勝手に遮らないことは、人に対する最低限の尊重だ。,ジャーナリストにとって、事実に基づくことは最低限の職業倫理だ。,あなたのこの推測は穴だらけで、最低限の論理も欠けている。
Chapter 4,过于,書き言葉の副詞「過度に／あまりにも」。二音節の形容詞や心理動詞の前に置き、適度な限界を超える。,彼は決断の際に過度に優柔不断で、その結果この貴重な投資機会を逃した。,親は子どもの日常生活に過度に干渉する必要はなく、自立心を育てるべきだ。,この市場予測レポートの結論は過度に楽観的で、潜在的な金融リスクを完全に無視している。
Chapter 4,以……著称,書き言葉の枠組み「〜で知られる」。人物・事物の有名な特徴を紹介する。,この百年老舗のレストランは、行き届いたサービスと新鮮な食材で知られている。,あの若い囲碁選手は、試合で機敏な思考と攻撃的な棋風で知られている。,この江南の古い水郷は、独特の優雅な水郷の風景と深い伝統文化の底力で世界的に有名だ。
Chapter 4,幸好,副詞「幸い／よかったことに」。悪い事態を防いだ救いの要素を導入する。しばしば「不然／否则」と対応。,幸い今日出かけるとき傘を持っていた。さもなければ夜遅くの大雨ですっかり濡れていただろう。,幸い専門救助隊がすぐに到着し、がれきの中の負傷者は第一時間に脱险できた。,さきほど舞台でスピーチするとき、ほとんど台詞を忘れかけた。幸い台下の先生の称賛の目を見て、ようやく落ち着いた。
Chapter 5,给……以……,書き言葉「〜に〜を与える」。抽象名詞句を伴い、与える・授けるという意味。,困難に陥った伝統工芸の職人たちに、政府は大きな資金支援を与えた。,先生の信頼に満ちた眼差しが、期末のピアノ級位試験に打ち勝つ大きな自信を与えてくれた。,試験で故意にカンニングし、公平の原則を破った者には、学校は必ず厳しい処分を与える。
Chapter 5,纯属……,副詞句「純粋に／まったく〜にほかならない」。他の可能性がないことを強調する。,異国の街で突然会ったのは純粋な偶然で、事前の約束はまったくなかった。,ネットで流れる、その伝統文化センターが閉鎖されるというニュースはまったくのうわさだ。信じないでほしい。,幼い頃からこんなに高雅な芸術環境で熏陶を受けられたことは、彼にとって純粋な幸運だった。
Chapter 5,急于……,動詞修飾「急いで〜する」。切迫した心理状態。性急さが問題を招くニュアンスを含むことが多い。,多くの親が子どもにピアノ級位の証書が欲しくて急ぎ、最低限の基礎練習を無視している。,部長の厳しい追及に直面し、彼は不注意を言い訳しようと急ぎ、結果ますます状況が悪くなった。,業界に入ったばかりの新人は実力を証明したがることが多く、非難の余地はないが、もっと腰を落ち着けて経験を積む必要がある。
Chapter 5,至于……,用法1：話題転換「〜については／〜に関しては」。別の側面に焦点を移す。,今の最優先課題は自分に卒業論文を書き終えさせることだ。就職のことについては、来月考えよう。,この新発売のスマートフォンはハードウェア構成が非常に強力だ。実際のOSが使いやすいかどうかは、ユーザーの反応次第だ。,才能を示す舞台を提供できる。最終的に頭角を現せるかどうかは、あなた自身の長期的な努力次第だ。
Chapter 5,至于……,用法2：程度の限界（不至于／何至于）。否定的・反語で「そこまで〜しない」を示す。,今回の級位試験でうまくいかなかったとはいえ、そこまで怒って食事もさせないほどではないだろう。,ほんの少しの意見の相違だけで、友達関係を断つほどの騒ぎになるのか。,たとえ生活が少し苦しくても、食事一杯が野望になるほどでは絶対にない。
Chapter 5,予以……,書き言葉の他動詞「〜を与える／行う」。「给」の正式な言い換え。行政・公文で使う。,市場に流れる会社の財務状況に関するうわさに対し、広報部門は今日午後記者会見を開いて澄清を行う。,都市生態林の建設過程でご理解とご協力を賜り、市民の皆様に感謝申し上げます。,この提案は非常に建設的で、経営陣は高く評価しており、必ず真剣に検討する。
